DATE_TIME,UNIQUE_ID
2014-02-09,11450
2014-02-10,28286
2014-02-11,29260
2014-02-12,31218
2014-02-13,28097
2014-02-14,23805
2014-02-15,11078
2014-02-16,13984
2014-02-17,24457
2014-02-18,28044
2014-02-19,26110
2014-02-20,22762
2014-02-21,22468
2014-02-22,11754
2014-02-23,10142
2014-02-24,27271
2014-02-25,25320
2014-02-26,24863
2014-02-27,23881
2014-02-28,24135
2014-03-01,11607
2014-03-02,12201
2014-03-03,28524
2014-03-04,25028
2014-03-05,24686
2014-03-06,23549
2014-03-07,21332
2014-03-08,10414
2014-03-09,8847
2014-03-10,26602
2014-03-11,24023
2014-03-12,25573
2014-03-13,26035
2014-03-14,23514
2014-03-15,11170
2014-03-16,10248
2014-03-17,28439
2014-03-18,25292
2014-03-19,24571
2014-03-20,24049
2014-03-21,22128
2014-03-22,10617
2014-03-23,9124
2014-03-24,27134
2014-03-25,24506
2014-03-26,24833
2014-03-27,23787
2014-03-28,21406
2014-03-29,10868
2014-03-30,10229
2014-03-31,28950
2014-04-01,26193
2014-04-02,23306
2014-04-03,23002
2014-04-04,20933
2014-04-05,10732
2014-04-06,8889
2014-04-07,24861
2014-04-08,24361
2014-04-09,22888
2014-04-10,22821
2014-04-11,21326
2014-04-12,10962
2014-04-13,9830
2014-04-14,26519
2014-04-15,22810
2014-04-16,23566
2014-04-17,24713
2014-04-18,21090
2014-04-19,9807
2014-04-20,9367
2014-04-21,24775
2014-04-22,23409
2014-04-23,24195
2014-04-24,22764
2014-04-25,20805
2014-04-26,10499
2014-04-27,8928
2014-04-28,25189
2014-04-29,23139
2014-04-30,23991
2014-05-01,23817
2014-05-02,21986
2014-05-03,12148
2014-05-04,10582
2014-05-05,25012
2014-05-06,22938
2014-05-07,22264
2014-05-08,21802
2014-05-09,20461
2014-05-10,11308
2014-05-11,8722
2014-05-12,25719
2014-05-13,24210
2014-05-14,23445
2014-05-15,20370
2014-05-16,22203
2014-05-17,12749
2014-05-18,10327
2014-05-19,25218
2014-05-20,24747
2014-05-21,24382
2014-05-22,23047
2014-05-23,21577
2014-05-24,10613
2014-05-25,9423
2014-05-26,13352
2014-05-27,27629
2014-05-28,24647
2014-05-29,25469
2014-05-30,23036
2014-05-31,11737
2014-06-01,10573
2014-06-02,27249
2014-06-03,25015
2014-06-04,24178
2014-06-05,23682
2014-06-06,22292
2014-06-07,12076
2014-06-08,10584
2014-06-09,28303
2014-06-10,26097
2014-06-11,25205
2014-06-12,23659
2014-06-13,22419
2014-06-14,12550
2014-06-15,9536
2014-06-16,28074
2014-06-17,26949
2014-06-18,26843
2014-06-19,25356
2014-06-20,23430
2014-06-21,12357
2014-06-22,10144
2014-06-23,29008
2014-06-24,26578
2014-06-25,25531
2014-06-26,25070
2014-06-27,23587
2014-06-28,12753
2014-06-29,11239
2014-06-30,29916
2014-07-01,27461
2014-07-02,27230
2014-07-03,25274
2014-07-04,12977
2014-07-05,12321
2014-07-06,10396
2014-07-07,29489
2014-07-08,27235
2014-07-09,27573
2014-07-10,25643
2014-07-11,23307
2014-07-12,12031
2014-07-13,9412
2014-07-14,27223
2014-07-15,25523
2014-07-16,25989
2014-07-17,23861
2014-07-18,22197
2014-07-19,11188
2014-07-20,9230
2014-07-21,26337
2014-07-22,24213
2014-07-23,23542
2014-07-24,23193
2014-07-25,20970
2014-07-26,10533
2014-07-27,9644
2014-07-28,25955
2014-07-29,23827
2014-07-30,23111
2014-07-31,21996
2014-08-01,21105
2014-08-02,11306
2014-08-03,9187
2014-08-04,23593
2014-08-05,24394
2014-08-06,23616
2014-08-07,22280
2014-08-08,21388
2014-08-09,10766
2014-08-10,9256
2014-08-11,26324
2014-08-12,23099
2014-08-13,23562
2014-08-14,22375
2014-08-15,20082
2014-08-16,10950
2014-08-17,8939
2014-08-18,25622
2014-08-19,24176
2014-08-20,23304
2014-08-21,22599
2014-08-22,20672
2014-08-23,10906
2014-08-24,8932
2014-08-25,25665
2014-08-26,24003
2014-08-27,23535
2014-08-28,23277
2014-08-29,20268
2014-08-30,10282
2014-08-31,8952
2014-09-01,12561
2014-09-02,29055
2014-09-03,25753
2014-09-04,25420
2014-09-05,23823
2014-09-06,11668
2014-09-07,9328
2014-09-08,27464
2014-09-09,25866
2014-09-10,24658
2014-09-11,23596
2014-09-12,22502
2014-09-13,11157
2014-09-14,9721
2014-09-15,25721
2014-09-16,23024
2014-09-17,22831
2014-09-18,22893
2014-09-19,21414
2014-09-20,10900
2014-09-21,9747
2014-09-22,25324
2014-09-23,23067
2014-09-24,23526
2014-09-25,21507
2014-09-26,19834
2014-09-27,11326
2014-09-28,9136
2014-09-29,25872
2014-09-30,22042
2014-10-01,24426
2014-10-02,23285
2014-10-03,21334
2014-10-04,10529
2014-10-05,9789
2014-10-06,26275
2014-10-07,23225
2014-10-08,22715
2014-10-09,21488
2014-10-10,20072
2014-10-11,9920
2014-10-12,9559
2014-10-13,16339
2014-10-14,25271
2014-10-15,23141
2014-10-16,21855
2014-10-17,20610
2014-10-18,10891
2014-10-19,9720
2014-10-20,27529
2014-10-21,23014
2014-10-22,22517
2014-10-23,23609
2014-10-24,21389
2014-10-25,11189
2014-10-26,9115
2014-10-27,25413
2014-10-28,23033
2014-10-29,22016
2014-10-30,22811
2014-10-31,20770
2014-11-01,11911
2014-11-02,12964
2014-11-03,28823
2014-11-04,24177
2014-11-05,23613
2014-11-06,21797
2014-11-07,21227
2014-11-08,11888
2014-11-09,10018
2014-11-10,26197
2014-11-11,18088
2014-11-12,23832
2014-11-13,22603
2014-11-14,21310
2014-11-15,12113
2014-11-16,9630
2014-11-17,24394
2014-11-18,24410
2014-11-19,23069
2014-11-20,21600
2014-11-21,20301
2014-11-22,11126
2014-11-23,8593
2014-11-24,23160
2014-11-25,20625
2014-11-26,18571
2014-11-27,9377
2014-11-28,15901
2014-11-29,9749
2014-11-30,9028
2014-12-01,25719
2014-12-02,23421
2014-12-03,22508
2014-12-04,21804
2014-12-05,19978
2014-12-06,9782
2014-12-07,9599
2014-12-08,25233
2014-12-09,23281
2014-12-10,21508
2014-12-11,20918
2014-12-12,20063
2014-12-13,10614
2014-12-14,8116
2014-12-15,22952
2014-12-16,20218
2014-12-17,19823
2014-12-18,19565
2014-12-19,17779
2014-12-20,9732
2014-12-21,8245
2014-12-22,20682
2014-12-23,18605
2014-12-24,13069
2014-12-25,8192
2014-12-26,17696
2014-12-27,8913
2014-12-28,7908
2014-12-29,23678
2014-12-30,21022
2014-12-31,15877
2015-01-01,9784
2015-01-02,20511
2015-01-03,9866
2015-01-04,9031
2015-01-05,26557
2015-01-06,24975
2015-01-07,24011
2015-01-08,26859
2015-01-09,25975
2015-01-10,12576
2015-01-11,10191
2015-01-12,30484
2015-01-13,31123
2015-01-14,26002
2015-01-15,30351
2015-01-16,29230
2015-01-17,13644
2015-01-18,12100
2015-01-19,17033
2015-01-20,31355
2015-01-21,28594
2015-01-22,26611
2015-01-23,24528
2015-01-24,12961
2015-01-25,15366
2015-01-26,38520
2015-01-27,22944
2015-01-28,29079
2015-01-29,25715
2015-01-30,22302
2015-01-31,13017
2015-02-01,12040
2015-02-02,28352
2015-02-03,30020
2015-02-04,28078
2015-02-05,25251
2015-02-06,24513
2015-02-07,12955
2015-02-08,12873
2015-02-09,30565
2015-02-10,28016
2015-02-11,26197
2015-02-12,25152
2015-02-13,24221
2015-02-14,12556
2015-02-15,11793
2015-02-16,25893
2015-02-17,29995
2015-02-18,28163
2015-02-19,25781
2015-02-20,25218
2015-02-21,13628
2015-02-22,12934
2015-02-23,29382
2015-02-24,27947
2015-02-25,26394
2015-02-26,25273
2015-02-27,23266
2015-02-28,12227
2015-03-01,14998
2015-03-02,26973
2015-03-03,26828
2015-03-04,26984
2015-03-05,27583
2015-03-06,23471
2015-03-07,12139
2015-03-08,10371
2015-03-09,27858
2015-03-10,27552
2015-03-11,26360
2015-03-12,26319
2015-03-13,23488
2015-03-14,13270
2015-03-15,11519
2015-03-16,28045
2015-03-17,27213
2015-03-18,26659
2015-03-19,25702
2015-03-20,22991
2015-03-21,12524
2015-03-22,10602
2015-03-23,28168
2015-03-24,26373
2015-03-25,25304
2015-03-26,25904
2015-03-27,23943
2015-03-28,11781
2015-03-29,10545
2015-03-30,28913
2015-03-31,26736
2015-04-01,26275
2015-04-02,27285
2015-04-03,21115
2015-04-04,11738
2015-04-05,9067
2015-04-06,27215
2015-04-07,25516
2015-04-08,25733
2015-04-09,24467
2015-04-10,21980
2015-04-11,12201
2015-04-12,10177
2015-04-13,28421
2015-04-14,27331
2015-04-15,26269
2015-04-16,24568
2015-04-17,22340
2015-04-18,11749
2015-04-19,9885
2015-04-20,27532
2015-04-21,27411
2015-04-22,25709
2015-04-23,25468
2015-04-24,22804
2015-04-25,12266
2015-04-26,10288
2015-04-27,28177
2015-04-28,27143
2015-04-29,26391
2015-04-30,25228
2015-05-01,22722
2015-05-02,12404
2015-05-03,11998
2015-05-04,27793
2015-05-05,25868
2015-05-06,24773
2015-05-07,24313
2015-05-08,21557
2015-05-09,10967
2015-05-10,9043
2015-05-11,26942
2015-05-12,25853
2015-05-13,24531
2015-05-14,24477
2015-05-15,22119
2015-05-16,11765
2015-05-17,10469
2015-05-18,26038
2015-05-19,25461
2015-05-20,24192
2015-05-21,22735
2015-05-22,19840
2015-05-23,10649
2015-05-24,8713
2015-05-25,11263
2015-05-26,28284
2015-05-27,26039
2015-05-28,25102
2015-05-29,23099
2015-05-30,12675
2015-05-31,11020
2015-06-01,27998
2015-06-02,25313
2015-06-03,25280
2015-06-04,24597
2015-06-05,22483
2015-06-06,12164
2015-06-07,10093
2015-06-08,27981
2015-06-09,25911
2015-06-10,26396
2015-06-11,26289
2015-06-12,24694
2015-06-13,13277
2015-06-14,11103
2015-06-15,29567
2015-06-16,28384
2015-06-17,26639
2015-06-18,25372
2015-06-19,23660
2015-06-20,11942
2015-06-21,9998
2015-06-22,29414
2015-06-23,28354
2015-06-24,26930
2015-06-25,26037
2015-06-26,24872
2015-06-27,12094
2015-06-28,11639
2015-06-29,30981
2015-06-30,29657
2015-07-01,28864
2015-07-02,27824
2015-07-03,22964
2015-07-04,9856
2015-07-05,9894
2015-07-06,30184
2015-07-07,28088
2015-07-08,27377
2015-07-09,25753
2015-07-10,23435
2015-07-11,12647
2015-07-12,10340
2015-07-13,29907
2015-07-14,27381
2015-07-15,26149
2015-07-16,24663
2015-07-17,23427
2015-07-18,11604
2015-07-19,10517
2015-07-20,30508
2015-07-21,27380
2015-07-22,26222
2015-07-23,24520
2015-07-24,22941
2015-07-25,11953
2015-07-26,9656
